"","公司代號","Profit_this_year_3","Profit_last_year_4","Profit_last_year_3","股東配發s盈餘分配之現金股利元股","Profit_this_year_4_P","DivideRatio","DividendPredict","收盤價","InterestRatePercent"
"59","1325",0.33,0.7,0.53,0.5,0.435849056603774,0.714285714285714,0.311320754716981,"17.30",0.0179954193478024
"60","1326",4.63,8.36,8.06,6.2,4.80233250620347,0.741626794258373,3.56153846153846,"88.60",0.0401979510331655
"61","1337",-1.96,-7.02,-1.74,0,-7.90758620689655,0,0,"6.02",0
"62","1338",3.22,6.51,5.23,3.5,4.00806883365201,0.537634408602151,2.15487571701721,"67.40",0.031971449807377
"63","1339",4.75,4.15,4.01,2,4.91583541147132,0.481927710843373,2.36907730673317,"55.40",0.0427631282803821
"64","1340",-1.4,0.97,1.47,0.2,-0.923809523809524,0.206185567010309,-0.19047619047619,"16.15",-0.0117941913607548
"65","1341",4.19,3.68,2.23,1,6.91443946188341,0.271739130434783,1.87892376681614,"61.60",0.0305020092015608
"66","1402",1.69,2.41,2.17,1.8,1.87691244239631,0.746887966804979,1.40184331797235,"30.00",0.0467281105990783
"67","1410",0.76,1.44,1.09,1.3,1.00403669724771,0.902777777777778,0.906422018348624,"32.60",0.0278043563910621
"68","1413",0.62,1.83,1.35,0,0.840444444444444,0,0,"9.50",0
"69","1414",-0.06,0.17,0.17,0.2,-0.06,1.17647058823529,-0.0705882352941176,"7.35",-0.00960384153661465
"70","1416",-0.21,1.35,0.26,1.2,-1.09038461538462,0.888888888888889,-0.969230769230769,"13.45",-0.0720617672290535
"71","1417",-0.21,-0.61,-0.39,0,-0.328461538461538,0,0,"10.10",0
"72","1418",-2.87,-4.01,-2.82,0,-4.08109929078014,0,0,"6.01",0
"73","1419",1.13,0.94,0.85,0.84752263,1.24964705882353,0.901619819148936,1.12670655517647,"--",NA
"74","1423",-0.21,0.64,0.54,0,-0.248888888888889,0,0,"10.45",0
"75","1432",-1,-1.1,-0.72,0,-1.52777777777778,0,0,"6.83",0
"76","1434",1.93,2.82,2.72,2.1,2.00095588235294,0.74468085106383,1.49007352941176,"34.25",0.0435057964791756
"77","1435",0.09,-0.1,-0.02,0,0.45,0,0,"7.36",0
"78","1436",0.29,4.48,2.93,2,0.443412969283276,0.446428571428571,0.197952218430034,"40.45",0.00489375076464856
"79","1437",4.04,1.23,1.05,0.5,4.73257142857143,0.40650406504065,1.92380952380952,"24.80",0.0775729646697389
"80","1438",-0.09,-0.12,-0.04,0,-0.27,0,0,"13.25",0
"81","1439",9.97,-0.75,-0.47,0,15.9095744680851,0,0,"32.55",0
"82","1440",0.04,0.65,0.69,0.4,0.0376811594202899,0.615384615384615,0.0231884057971015,"10.50",0.00220841959972395
"83","1441",-2.33,11.66,13.69,0.4,-1.98449963476991,0.0343053173241852,-0.0680788897005113,"8.84",-0.00770123186657368
"84","1442",0.36,0.4,0.5,1,0.288,2.5,0.72,"19.65",0.0366412213740458
"85","1443",-0.04,-2.38,-2.17,0,-0.0438709677419355,0,0,"9.69",0
"86","1444",0.38,0.44,0.47,0.4,0.355744680851064,0.909090909090909,0.323404255319149,"9.52",0.0339710352225997
"87","1445",-0.21,-0.17,-0.13,0,-0.274615384615385,0,0,"7.25",0
"88","1446",-0.21,-0.21,-0.28,0,-0.1575,0,0,"38.10",0
"89","1447",0.17,0.19,0.53,0.2,0.0609433962264151,1.05263157894737,0.0641509433962264,"6.97",0.0092038656235619
"90","1449",0,-0.85,-0.51,0,0,0,0,"12.05",0
"91","1451",-0.09,2.03,1.4,2,-0.1305,0.985221674876847,-0.128571428571429,"21.10",-0.00609343263371699
"92","1452",1.04,1.47,1.24,1.4,1.23290322580645,0.952380952380952,1.1741935483871,"18.70",0.0627910988442298
"93","1453",-0.01,3.74,3.97,0,-0.00942065491183879,0,0,"8.07",0
"94","1454",0.29,0.15,0.2,0.09572374,0.2175,0.638158266666667,0.138799423,"7.82",0.0177492868286445
"95","1455",-0.16,0.15,0.55,0.2,-0.0436363636363636,1.33333333333333,-0.0581818181818182,"7.99",-0.00728182955967687
"96","1456",-0.04,0.13,-0.23,0,0.0226086956521739,0,0,"11.95",0
"97","1457",1.25,2.13,1.95,0.7,1.36538461538462,0.328638497652582,0.448717948717949,"14.40",0.0311609686609687
"98","1459",-0.35,-1.18,0.34,0,1.21470588235294,0,0,"7.43",0
"99","1460",-0.13,0.33,0.31,0,-0.138387096774194,0,0,"9.15",0
"100","1463",0.66,1.62,1.42,1.4,0.752957746478873,0.864197530864197,0.650704225352113,"13.05",0.0498623927472883
"101","1464",1.24,0.61,0.45,0.55,1.68088888888889,0.901639344262295,1.51555555555556,"25.90",0.0585156585156585
"102","1465",3.72,-0.12,0.04,0,-11.16,0,0,"15.45",0
"103","1466",-0.12,-0.94,-0.61,0,-0.184918032786885,0,0,"7.59",0
"104","1467",-0.1,-0.29,-0.63,0,-0.046031746031746,0,0,"8.53",0
"105","1468",0.28,0.24,0.25,0,0.2688,0,0,"10.00",0
"106","1470",0.72,0.57,0.37,0.4,1.10918918918919,0.701754385964912,0.778378378378378,"20.80",0.0374220374220374
"107","1471",-2,-2.13,-1.11,0,-3.83783783783784,0,0,"2.69",0
"108","1472",1.9,-1.59,-1.41,0,2.14255319148936,0,0,"26.50",0
"109","1473",0.61,0.54,-0.1,0.5,-3.294,0.925925925925926,-3.05,"24.95",-0.122244488977956
"110","1474",-0.07,0.87,0.56,0.3,-0.10875,0.344827586206897,-0.0375,"9.62",-0.0038981288981289
