公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1314 - 中石化,董事會通過,1,107/02/26,107/04/11,0,"6,091,656,484",0,0,0,0,0,0,0,0,新台幣                 10.0000元
1315 - 達新工業,董事會通過,1,107/03/20,107/06/08,"229,271,809","171,735,974","387,588,788","169,788,788",1.1,0,"217,800,000",0,0,0,新台幣                 10.0000元
1316 - 上曜,董事會通過,1,107/04/03,107/06/26,"-129,844,976","336,704,773","179,295,723","361,764",1.4,0.8,"281,181,935",0,0,0,新台幣                 10.0000元
1319 - 東陽,董事會通過,1,107/03/23,107/06/20,"6,014,313,609","2,341,350,899","8,211,616,747","6,999,088,758",2.05,0,"1,212,527,989",0,0,0,新台幣                 10.0000元
1321 - 大洋,董事會通過,1,107/03/23,107/06/29,"-313,329,860","-81,431,002","-407,980,798",0,0,0,0,0,0,0,新台幣                 10.0000元
1323 - 永裕,董事會通過,1,107/03/22,107/06/20,"350,326,320","251,157,878","543,775,885","425,118,965",1.3,0,"118,656,920",0,0,0,新台幣                 10.0000元
1324 - 地球工業,董事會通過,1,107/04/12,107/05/29,"54,288,198","60,285,756","105,381,923","82,845,358",0.3,0,"22,536,565",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1325 - 恒大,董事會通過,1,107/03/28,107/06/29,"452,402,329","43,512,154","486,933,624","457,085,204",0.35,0,"29,848,420",0,0,0,新台幣                 10.0000元
1326 - 台化,董事會通過,1,107/03/16,107/06/15,"30,714,616,245","54,410,801,635","72,213,352,297","31,185,048,260",7,0,"41,028,304,037",0,0,0,新台幣                 10.0000元
1337 - 再生-KY,董事會通過,1,107/04/28,107/06/11,"3,526,861,160","182,352,861","3,587,443,252","3,579,703,224",0.0028905,0,"774,007",0.02601435,0,"696,602",新台幣                 10.0000元
1338 - 廣華-KY,董事會通過,1,107/03/26,107/05/30,"1,889,025,119","775,532,701","2,416,382,807","1,997,182,807",5,0,"419,200,000",0,0,0,新台幣                 10.0000元
1339 - 昭輝,董事會通過,1,107/03/12,107/05/28,"750,351,824","275,738,811","995,808,189","847,530,439",2,0,"148,277,750",0,0,0,新台幣                 10.0000元
1340 - 勝悅-KY,董事會通過,1,107/05/02,107/06/12,"1,671,053,739","835,167,037","2,362,186,695","2,197,889,414",0.3,0,"37,914,757",1,0,"12,638,253",新台幣                 10.0000元
1402 - 遠東新,董事會通過,1,107/03/22,107/06/29,"4,210,378,747","8,066,135,789","10,492,132,061","4,068,681,789",1.2,0,"6,423,450,272",0,0,0,新台幣                 10.0000元
1409 - 新纖,董事會通過,1,107/03/26,107/05/29,"2,647,924,736","964,725,803","3,489,328,437","2,680,123,791",0.5,0,"809,204,646",0,0,0,新台幣                 10.0000元
1410 - 南染,董事會通過,1,107/03/21,107/06/15,"17,541,229","92,434,106","105,227,570","4,427,570",1.4,0,"100,800,000",0,0,0,新台幣                 10.0000元
1413 - 宏洲纖維,董事會通過,1,107/02/26,107/05/30,"-542,533,600","116,561,480","-425,972,120","-425,972,120",0,0,0,0,0,0,新台幣                 10.0000元
1414 - 東和,董事會通過,1,107/04/26,107/06/11,"74,750,384","89,637,901","158,861,885","88,461,885",0.32,0,"70,400,000",0,0,0,新台幣                 10.0000元
1416 - 廣豐,董事會通過,1,107/03/26,107/06/29,"1,234,952,667","223,240,124","1,472,803,790","1,250,393,188",1.2,0,"222,410,602",0,0,0,新台幣                 10.0000元
1417 - 嘉裕,董事會通過,1,107/03/23,107/06/20,"-432,225,826","-458,938,141","-852,643,459","-852,643,459",0,0,0,0,0,0,新台幣                 10.0000元
1418 - 東華,董事會通過,1,107/03/23,107/06/20,"-851,001,601","-321,598,797","-331,266,495",0,0,0,0,0,0,0,新台幣                 10.0000元
